Unnamed: 0,Kbm,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Các tình huống sẽ đi theo luồng từ trái qua phải. Mình thêm các trường hợp khách hỏi bot và tình huống muốn hỏi thêm khách hoặc xử lý từ chối theo form em gửi nhé ạ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,2.14,"KH hỏi có phù hợp với nhà trọ, nhà thuê, nhà gác lửng không","nhà trọ, nhà thuê, nhà gác, nhà cấp 4, mái yếu, có phù hợp không, có nên làm không, nên lắp không, nhà nhỏ, nhà chật, không phải nhà mình, thuê nhà thì sao, có ràng buộc gì không, nhà sơ sài","Dạ, nếu là nhà thuê hoặc nhà trọ thì mình nên cân nhắc lắp hệ thống nhỏ để dễ tháo dỡ khi cần di chuyển.
 Bên em có giải pháp tiết kiệm chi phí, gọn nhẹ cho nhà trọ và nhà cấp 4. Em gửi hình ảnh các mẫu đã lắp thực tế cho mình xem thử nha!",,,,,,,,
,,2.15,KH hỏi có ai từng làm chưa / cần minh chứng thực tế,"ai làm chưa, có ai dùng chưa, có minh chứng không, có ví dụ thực tế không, có khách cũ không, ai đã lắp rồi, có đánh giá không, có hình ảnh không, cho tôi coi thử, có ai lắp gần đây không, có case thực tế không, có video không","Dạ, bên em đã lắp đặt cho hơn 2.000 khách hàng, riêng tại tỉnh Tây Ninh đã lắp đặt hơn 300 hệ thống.
 Em gửi mình hình ảnh công trình thực tế và đánh giá của khách đã lắp để mình tham khảo ạ!",,,,,,,,
,,2.16,KH hỏi sao có SĐT,"Sao biết, sao có, có số, ai cho, điện thoại, tự nhiên gọi, quen tôi, gọi nhầm, nhầm số, lấy số, lấy thông tin, cung cấp số, ai đưa số, ai cấp số, đăng ký, danh sách ở đâu, liên quan gì, thu thập từ đâu, ai chia sẻ, ai gửi thông tin","Dạ, bên em có khảo sát thị trường tại khu vực mình nên có được thông tin liên hệ ạ. Mình cho em xin trao đổi ngắn 1–2 phút về giải pháp giúp mình tiết kiệm tối đa tiền điện mỗi tháng nhé ạ!",,,,,,,,
,,2.17,KH không quan tâm - Phản ứng mạnh,"đau đầu, Cút, Phiền, Biến, Không muốn nghe, Bực, Vớ vẩn, Miễn, cúp máy, dẹp đi, ",Dạ vâng. Em chào mình ạ!,Trùng từ chối,,,,,,,
,,2.18,KH chưa biết về điện mặt trời,"là gì, là sao, dùng sao, sử dụng sao, hoạt động sao, chạy như nào, khó dùng không, dùng thế nào, không rành, lần đầu nghe, chưa tìm hiểu, chưa từng biết, chưa nghe bao giờ, chưa nghe nói, chưa hình dung, hệ thống gì, không biết, chức năng, chưa từng gặp, không quen sản phẩm, chưa từng dùng, thấy lạ, chưa được tư vấn, chưa được giới thiệu, không hiểu cơ chế, cần giải thích, nghe nói sơ sơ, mù mờ","Dạ, hệ thống điện năng lượng mặt trời là hệ thống sử dụng các tấm pin mặt trời để hấp thu ánh nắng và chuyển đổi thành điện năng để cung cấp cho gia đình mình sử dụng ạ.

Em xin phép gửi thông tin chi tiết về điện mặt trời qua Zalo cho mình tham khảo nha!",,,,,,,,
3.0,KH Bận,,"Có việc, công việc, lái xe, chạy xe, đi đường, họp, đang làm, ăn cỗ, gọi lại, không tiện nghe, lúc khác, khi khác, bận, không rảnh, đang chở khách, đi công chuyện, lát gọi, đang ăn, đang ngủ, có khách, không có nhà, để suy nghĩ, đang đi chơi, lát nói chuyện sau","Dạ, em hiểu là mình đang rất bận ạ. Em xin gửi thông tin tóm tắt qua Zalo để mình tranh thủ xem lúc rảnh. Sau đó em sẽ liên hệ lại để hỗ trợ nếu mình cần thêm thông tin nha ạ!",,,,,,,,,
4.0,KH Không quan tâm( từ chối chung),,"không, hông, thôi, cảm ơn, đừng, đau đầu, xin lỗi, cám, nghèo, cảm, phiền, công nhân, nông dân, quèn, đắt, quan tâm, không cần, gọi nhiều, gọi lắm, suốt ngày gọi, mệt quá, đừng gọi nữa, gọi lắm thế, không muốn, không có nhu cầu, hông cần, chưa cần, chưa có nhu cầu, chưa quan tâm, không thích, không có ý định, chưa có ý định, chưa sẵn sàng","Dạ, em hiểu hiện tại mình chưa thật sự quan tâm đâu ạ. Nếu tiện, mình chia sẻ giúp em một chút – không biết mình đang băn khoăn ở chỗ chi phí, hiệu quả, hay chưa thật sự cần thiết lúc này ạ? Biết đâu em có thể chia sẻ thêm góc nhìn hoặc thông tin phù hợp hơn cho mình tham khảo sau này!",KH từ chối lần 2,"nhu cầu, thôi, cảm ơn, đừng, đau đầu, xin lỗi, cám, nghèo, cảm, phiền, công nhân, nông dân, quèn, đắt, quan tâm, không cần, gọi nhiều, gọi lắm, suốt ngày gọi, mệt quá, đừng gọi nữa, gọi lắm thế, không muốn, không có nhu cầu,","Dạ, vậy em xin chào mình ạ!",Kết thúc cuộc gọi,,,,,
,,,,,KH từng được tư vấn nhưng chưa lắp,"từng tư vấn, tư vấn rồi, nói chuyện rồi, gọi rồi, biết rồi, nghe rồi, có người nói rồi, từng xem rồi, từng tìm hiểu, từng hỏi, nói mấy lần rồi, biết sơ sơ rồi, biết sơ rồi, xem trên mạng rồi, có người giới thiệu rồi, đã khảo sát, chưa quyết, tính lắp mà chưa lắp, tính rồi, có ý định trước đó","Dạ, em hiểu là mình đã được tư vấn trước đó rồi ạ. Nhưng nếu được, mình cho em hỏi tiền điện một tháng của mình khoảng bao nhiêu vậy ạ? Để em thử tính một phương án tối ưu hơn cho mình so sánh trước khi đưa ra quyết định nha ạ!",KH trả lời,"Triệu, đồng, rưỡi, triệu đồng, khá cao, cũng nhiều, dùng nhiều lắm, không nhiều, cao lắm, khá nhiều, hơi nhiều, hóa đơn cao, điện nhiều, tiêu thụ cao, hơi nhiều, mở suốt, thiết bị nhiều, chạy máy liên tục, xài điện cả ngày, tiêu thụ lớn, công suất lớn, nhiều thiết bị, ","Dạ cho em hỏi thêm: mình dùng điện nhiều vào ban ngày hay ban đêm, hay ngày đêm như nhau vậy ạ?",KH trả lời 2,"sáng, tối, ngày, đêm, như nhau, ban ngày, cả ngày, hiệu quả, cả hai, hành chính, xài đều, xài 24/24, liên tục, không cố định, ","Dạ dựa trên thông tin mình chia sẽ, em thấy lắp điện mặt trời sẽ rất hiệu quả, giúp tiết kiệm 70-90% tiền điện mỗi tháng. Em xin phép gửi bảng phân tích hiệu quả và hình ảnh thực tế qua Zalo để mình tham khảo thêm nha!"
,,,,,KH đang xây nhà,"đang xây nhà, chuẩn bị xây, sắp xây, mới đập nhà, đang làm nhà, chưa làm xong, xây chưa xong, đang sửa nhà, đang thi công, đang thiết kế, chưa xây, chuẩn bị sửa, nhà đang xây, đang hoàn thiện, đang lên bản vẽ, chờ xây xong, sắp sửa, đang đổ mái, xây dang dở, làm nhà mới, mới xây, chưa có nhà, chờ ổn định, mới mua đất, mới mua nhà, đang lo xây nhà","Dạ, nếu mình đang xây dựng thì đây là thời điểm rất lý tưởng để lắp hệ thống điện mặt trời ạ, vì mình có thể tối ưu hệ thống ngay từ đầu. Không biết tiền điện một tháng của mình khoảng bao nhiêu vậy ạ? Để em tính công suất hệ thống và gửi mình tham khảo một vài công trình tương tự nha ạ!",,,,,,
,,,,,KH chưa hiểu rõ,"còn phân vân, chưa chắc, đang tìm hiểu, chưa hiểu kỹ, chưa hiểu nguyên lý, nghe nói nhưng chưa rành,","Dạ, em hiểu là mình đang cân nhắc thêm cho chắc chắn. Nhưng nếu được, mình cho em hỏi tiền điện một tháng của mình khoảng bao nhiêu vậy ạ? để em phân tích hiệu quả đầu tư hệ thống cho mình dễ hình dung hơn ạ!",,,,,,
,,,,,KH không phải người quyết định,"hỏi gia đình, người thân, hỏi vợ, hỏi chồng, hỏi ba mẹ, hỏi người lớn, chồng quyết định, vợ quyết định, ba mẹ quyết, người nhà quyết, người khác lắp, hỏi sếp, hỏi cấp trên, hỏi công ty","Dạ, em hiểu mình không trực tiếp quyết định. Nhưng nếu được, mình cho em hỏi tiền điện một tháng của mình khoảng bao nhiêu vậy ạ, em sẽ gợi ý hệ thống phù hợp để mình tham khảo, hay trao đổi lại với mọi người cũng tiện hơn ạ!",,,,,,
,,,,,"KH nghi ngờ ,mất niềm tin","sợ bị lừa, lừa gạt, không tin, không đáng tin, không biết thật không, sợ bị dụ, thấy sai sai, có đáng tin không, không minh bạch, sợ tốn tiền, nghe nói bị lừa, sợ bị mất tiền,","Dạ, em hiểu là hiện nay có rất nhiều cuộc gọi không rõ nguồn gốc nên mình lo lắng cũng dễ hiểu ạ. Nhưng mình yên tâm, em bên Sô la Sài Gòn Xanh đã hoạt động hơn 10 năm và triển khai hơn 2000 công trình tại Tây Ninh và nhiều tỉnh khác, có đầy đủ hình ảnh thực tế để mình kiểm chứng ạ.

Dạ, nếu được, mình cho em hỏi tiền điện một tháng của mình khoảng bao nhiêu vậy ạ? em sẽ phân tích hiệu quả đầu tư hệ thống giúp mình để mình có thêm thông tin cân nhắc ạ!",,,,,,
,,,,,KH chỉ nghe cho biết,"tìm hiểu thêm, nghiên cứu, chưa quyết định, chỉ xem thử, xem sao, hỏi thông tin thôi, đang xem xét,","Dạ, em cảm ơn mình đã quan tâm ạ. mình cho em hỏi tiền điện một tháng của mình khoảng bao nhiêu vậy ạ? để em tính công suất hệ thống phù hợp gửi mình tham khảo cho tiện ạ!",,,,,,
,,,,,KH đã từng bị tư vấn sai / thất vọng,"bị lừa trước đó, từng tư vấn rồi, tư vấn sai, tư vấn dở, thất vọng, không giống quảng cáo, gắn xong mà không tiết kiệm, tốn tiền, không hài lòng, bị úp sọt, bên trước làm bậy, lắp xong bị lỗi, đã gỡ rồi","Dạ, em rất tiếc vì mình từng gặp trải nghiệm chưa tốt ạ. Bên em có hợp đồng rõ ràng, minh bạch chi phí và cam kết bằng văn bản. Nếu mình cho em biết tiền điện trung bình một tháng của mình khoảng bao nhiêu?, em sẽ tính công suất hệ thống phù hợp để mình thấy rõ hiệu quả và cân nhắc khi cần ạ!",,,,,,
,,,,,KH đang gặp khó khăn tài chính,"kẹt tiền, kẹt vốn, mới trả nợ, đang thiếu, khó khăn, làm ăn chậm, tiền đâu mà lắp, không kham nổi, chưa có tiền, đợi thêm, chờ tháng sau, để sau, đang lo ăn từng bữa, ưu tiên việc khác, hết ngân sách","Dạ, em rất hiểu lúc này mình đang phải tính toán tài chính nhiều việc cùng lúc. Tuy nhiên, bên em đang có chương trình hỗ trợ trả góp với lãi suất 0%, chỉ cần thanh toán trước khoảng 30% giá trị hệ thống là mình có thể triển khai được ngay ạ.
 Phần còn lại mình có thể chia ra góp dần hàng tháng nhẹ nhàng, giúp mình vừa tiết kiệm được điện mỗi ngày, vừa không bị áp lực tài chính ban đầu.
Dạ, mình cho em hỏi tiền điện một tháng của mình khoảng bao nhiêu vậy ạ? Để em tính giúp mình công suất hệ thống phù hợp cho mình tham khảo ạ. Biết đâu khi điều kiện tốt hơn, mình sẽ có giải pháp tiết kiệm ổn định và hiệu quả lâu dài ạ!.",,,,,,
,,,,,KH cho rằng không cần vì ít xài điện,"xài ít lắm, nhiều điện, xài tiết kiệm, nhà nhỏ, đáng lắp, dùng mấy bóng đèn, cần hệ thống lớn, xài máy lạnh, ở nhà ít, xài ban ngày","Dạ, nếu mình xài ít thì càng nên đầu tư hệ thống nhỏ – vốn đầu tư thấp mà vẫn giảm được tiền điện hàng tháng và tăng giá trị căn nhà ạ. Không biết tiền điện trung bình một tháng của mình khoảng bao nhiêu vậy ạ? Để em tính công suất và hiệu quả của hệ thống cho mình dễ hình dung hơn nhé ạ!",,,,,,
,,,,,KH nghĩ đây là chiêu trò bán hàng,"quảng cáo thôi, dụ dỗ, chiêu trò, làm màu, không thật, nói hay thôi, chắc lừa, tiếp thị thôi, bán hàng à, đa cấp, gọi tiếp thị hoài, nghi ngờ, không nghiêm túc, trò cũ, giống mấy lần trước, lừa đảo","Dạ, em hiểu mình e ngại vì hiện nay có nhiều cuộc gọi làm phiền ạ. Bên em chỉ chia sẻ thông tin thực tế, có minh chứng rõ ràng và cam kết không làm phiền nếu mình chưa có nhu cầu. Nếu được, mình cho em hỏi thăm tiền điện trung bình một tháng của mình khoảng bao nhiêu vậy ạ? Để em tính công suất và hiệu quả của hệ thống cho mình tham khảo ạ!",KH không có nhu cầu,"nhu cầu, thôi, cảm ơn, đừng, đau đầu, xin lỗi, cám, nghèo, cảm, phiền, công nhân, nông dân, quèn, đắt, quan tâm, không cần, gọi nhiều, gọi lắm, suốt ngày gọi, mệt quá, đừng gọi nữa, gọi lắm thế, không muốn, không có nhu cầu,","Dạ, em hiểu rồi ạ, vậy em chào mình ạ!",KH im lặng,,"Dạ, mình còn nghe máy không ạ! Em xin phép gửi thông tin qua Zalo trước cho mình tham khảo, rồi em gọi lại sau cho mình được không ạ?"
,,,,,KH cho rằng không đủ diện tích mái / mái không phù hợp,"mái nhỏ, không có mái, không đủ chỗ, mái tôn mỏng, mái nghiêng, không đón nắng, mái xấu, mái tạm, không kiên cố, mái ngắn, không hướng nắng, mái hư, bị rò nước, mái sắp sửa, không gắn được, diện tích nhỏ, bị che nắng, tường cao, bóng râm, không hợp, không khả thi","Dạ, bên em có nhiều giải pháp thiết kế linh hoạt cho cả mái nhỏ, mái nghiêng hoặc mái yếu – kể cả lắp trên giàn khung hoặc tường đứng ạ. Không biết tiền điện trung bình một tháng của mình khoảng bao nhiêu vậy ạ? Để em tính công suất hệ thống phù hợp và gửi phương án phù với mái nhà của mình cho mình dễ hình dung nhé ạ!",KH im lặng,,"Dạ, mình còn nghe máy không ạ! Em xin phép gửi thông tin qua Zalo trước cho mình tham khảo, rồi em gọi lại sau cho mình được không ạ?",Khác- Không trùng (TH mặc định),( KH phản hồi những từ khóa không trùng với những Trường hợp mình đã phân lọc),"Dạ, em hiểu rồi ạ. Em xin phép gửi một vài thông tin hữu ích qua Zalo, nếu mình thấy phù hợp thì mình xem thêm giúp em nha!"
,,,,,"KH e ngại về chất lượng thiết bị, độ bền và dịch vụ hậu mãi sau lắp","mau hư, nhanh hỏng, xuống cấp, không bền, hao mòn, ít bền, tuổi thọ thấp, dễ hỏng, dễ vỡ, hư sau vài năm, không xài được lâu, trục trặc, nhanh hỏng pin, chịu lực kém, bị hư hại, rỉ sét, ăn mòn, sét đánh, thời tiết, nắng mưa, bảo hành sao, bảo trì không, bảo hành có thật không, có ai hỗ trợ không, ai chịu trách nhiệm, có kỹ thuật không, không biết bảo hành, bảo dưỡng không có, lắp xong là bỏ, không chăm sóc, mất kết nối, không ổn định, thiết bị rẻ tiền, không rõ xuất xứ, lỗi liên tục, linh kiện đểu, không chuyên nghiệp, bảo hành miệng","Dạ, bên em sử dụng thiết bị chính hãng như pin mặt trời tuổi thọ lên đến 25–30 năm, inverter bảo hành từ 5–10 năm, khung giàn thép mạ kẽm siêu bền.
Đồng thời, bên em có bảo hành rõ ràng bằng văn bản, hỗ trợ kỹ thuật tận nơi khi cần.
Nếu được, mình cho em hỏi tiền điện trung bình một tháng của mình khoảng bao nhiêu vậy ạ? Để em tính công suất hệ thống phù hợp và gửi ảnh công trình cho mình tiện tham khảo ạ!",Khác- Không trùng (TH mặc định),( KH phản hồi những từ khóa không trùng với những Trường hợp mình đã phân lọc),"Dạ, em hiểu rồi ạ. Em xin phép gửi nhẹ một vài thông tin hữu ích qua Zalo, nếu mình thấy phù hợp thì mình xem thêm giúp em nha!",,,
,,,,,"KH sợ thủ tục rườm rà, phức tạp","rườm rà, phiền phức, giấy tờ, thủ tục nhiều, hồ sơ rối, không rành giấy tờ, lằng nhằng, không biết làm, phức tạp quá, thủ tục ngân hàng, khó làm, không có thời gian, rối quá, nhiều bước, đăng ký, hợp đồng, giấy phép, chờ lâu, đi tới đi lui, không quen thủ tục, không biết nộp ở đâu, không tiện, nhiêu khê, ngại làm, không rõ quy trình","Dạ, bên em có đội ngũ hỗ trợ từ A-Z, kể cả thủ tục điện lực và ngân hàng (nếu cần).
Mình chỉ cần cung cấp vài thông tin cơ bản, còn lại bên em sẽ xử lý trọn gói giúp mình luôn ạ.
Không biết tiền điện trung bình một tháng của mình khoảng bao nhiêu, để em tư vấn hệ thống phù hợp và gửi thông tin hướng dẫn cụ thể cho mình dễ hình dung ạ?",,,,,,
,,,,,KH lo ngại bị phá mái / ảnh hưởng nhà ở khi lắp/ mái yếu/ mái cũ,"bẩn mái, dột nước, đục tường, giàn yếu, giữ nguyên trạng, hư hỏng, hư mái, kiến trúc, khoan lỗ, khoan mái, không an toàn, không chịu lực, không chắc chắn, không đẹp, không thẩm mỹ, không vững, lo mái hỏng, mái cũ, mái dột, mái kẽm, mái mục, mái nhà yếu, mái thấp, mái yếu, mất công sửa, mất giá trị nhà, mất thẩm mỹ, nứt tường, nhà đang đẹp, phá mái, sợ mái lủng, sợ sập, sợ thủng mái, sợ hư mái, tôn cũ, tôn mỏng, tốn diện tích, xấu nhà","Dạ, bên em có đội kỹ sư khảo sát kỹ mái nhà trước khi lắp để đảm bảo an toàn tuyệt đối ạ.
Với mái yếu hoặc tôn cũ, bên em có giải pháp giàn khung riêng không khoan lỗ, nhẹ, bền, không ảnh hưởng đến kết cấu hay thẩm mỹ mái nhà ạ.
Nhân đây, mình cho em hỏi tiền điện trung bình một tháng khoảng bao nhiêu vậy ạ? Để em tính công suất phù hợp và mô hình lắp đặt an toàn cho mái nhà của mình ạ!",,,,,,
