Unnamed: 0,Kbm,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Các tình huống sẽ đi theo luồng từ trái qua phải. Mình thêm các trường hợp khách hỏi bot và tình huống muốn hỏi thêm khách hoặc xử lý từ chối theo form em gửi nhé ạ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
3.0,KH Bận,,"Có việc, công việc, lái xe, chạy xe, đi đường, họp, đang làm, ăn cỗ, gọi lại, không tiện nghe, lúc khác, khi khác, bận, không rảnh, đang chở khách, đi công chuyện, lát gọi, đang ăn, đang ngủ, có khách, không có nhà, để suy nghĩ, đang đi chơi, lát nói chuyện sau, thời gian, không có thời gian, đang kẹt, kẹt, làm việc, mất làm,","Dạ vâng, em xin phép sẽ gọi lại sau. Em có thể gọi vào khung giờ nào để tiện nhất ạ? (3)",,,,,,,,,,,,
4.0,KH Không quan tâm( từ chối chung),,"4.1 Không có nhu cầu mua nhà, không có nhu cầu, không nhu cầu","Dạ em hiểu. Nhiều khách cũng nghĩ vậy, nhưng khi biết chính sách miễn lãi 3 năm, ân hạn gốc 5 năm thì thấy rất nhẹ. Em gửi thông tin qua Zalo để anh/chị tham khảo thêm ạ. (4.1)",KH từ chối lần 2,"thôi, khỏi, cảm ơn, đừng, đau đầu, xin lỗi, cám, nghèo, cảm, phiền, công nhân, nông dân, quèn, đắt, quan tâm, không cần, gọi nhiều, gọi lắm, suốt ngày gọi, mệt quá, đừng gọi nữa, gọi lắm thế, không muốn, không có nhu cầu, hông cần, chưa cần, chưa có nhu cầu, chưa quan tâm, không thích, không có ý định, chưa có ý định, chưa sẵn sàng, hông có nhu cầu, hong có nhu cầu, khong có nhu cầu, hổng có, hông có, không có, chưa có, dạ hông, có xài đâu, có sài đâu","4.1.1. Dạ, em cảm ơn anh/chị, mong có cơ hội được hợp tác với anh/chị trong thời gian tới. Em chào anh/chị ạ! (4.1.1)",Kết thúc cuộc gọi,,,,,,,,
,,,4.2. Chưa quan tâm tới dự án này.,"Dạ, em hiểu. Dự án ngay trục xuyên tâm XLHN 
và Vành Đai 3, đối diện ga Metro nên đang rất 
nhiều anh/ chị quan tâm mua vì tiềm năng cực 
kỳ cao. Em gửi anh/chị thông tin qua Zalo xem 
thử nha. (4.2)",,,,KH trả lời,,,KH trả lời 2,,,,,
,,,"4.3. Đang ở nhà rồi, không cần thêm.",Dạ em hiểu. Nhưng nhiều khách vẫn chọn thêm để đầu tư vì view sông và ngay nhà ga Metro hiếm lắm. Em gửi thông tin để anh/chị tham khảo nhé. (4.3),,,,,,,,,,,,
,,,4.4. Đang đầu tư chỗ khác,"Dạ, em hiểu. Mình đang đầu tư thì chắc chắn quan tâm lợi nhuận. Dự án này ngay khu Đông HCM đang được nhà nước đầu tư công nhiều nhất cả nước. Em gửi chi tiết để anh/chị so sánh thêm nha. (4.4)",,,,,,,,,,,,
,,,"4.5.Giá cao quá, không đủ khả năng.","Dạ, em hiểu. Nhưng hiện có chính sách miễn lãi 3 năm, ân hạn gốc 5 năm, booking chỉ 50 triệu hoàn lại. Em gửi bảng giá để anh/chị xem thử nhé. (4.5')",,,,,,,,,,,,
,,,4.6.Chưa xoay kịp tài chính,"Dạ em hiểu. Với chính sách trả 15% ký hdmb rồi miễn lãi 36 tháng, mình nhẹ vốn ban đầu lắm. Em gửi phương án thanh toán để anh/chị tham khảo ạ. (4.6)",,,,,,,,,,,,
,,,"4.7.Để hỏi thêm gia đình, vợ/chồng.","Dạ đúng rồi, việc lớn nên cứ bàn bạc thêm. Em gửi thông tin qua Zalo để anh/chị cùng gia đình xem trước nhé. (4.7)",,,,,,,,,,,,
,,,"4.8.Bận, không đi xem dự án được.","Dạ em hiểu. Em gửi trước video và hình ảnh thực tế, khi nào rảnh mình ghé tham quan nhanh cũng được ạ. nhà mẫu thì ngay quận 1 ấy anh/ chị (4.8)",,,,,,,,,,,,
,,,4.9.Khi nào rảnh sẽ gọi lại.,"Dạ, để tiện hơn em gửi thông tin qua Zalo trước, khi nào anh/chị rảnh mình trao đổi thêm ạ. (4.9)",,,,,,,,,,,,
,,,4.10. Chưa có kế hoạch mua trong năm nay.,"Dạ em hiểu. Nhiều khách vẫn giữ chỗ 50 triệu để chọn căn đẹp, không mua thì hoàn lại. Em gửi chi tiết cho anh/chị xem trước nha. (4.10)",,,,,,,,,,,,"Dạ, em hiểu ạ. Cho em xin phép hỏi thêm, anh/chị chưa quan tâm là vì chưa có nhu cầu vay lúc này, hay còn băn khoăn về lãi suất và điều kiện vay ạ?”"
,,,4.11.Cần xem thêm dự án khác để so sánh.,"Dạ, em hiểu. The Gió nằm ngay Metro và Vành Đai 3, hiếm lắm. Khu Đông HCM đang được đầu tư công nhiều nhất cả nước. Em gửi thông tin để anh/chị dễ so sánh hơn nha. (4.11)",,,,KH không có nhu cầu,,,KH im lặng,,"4.11.2Dạ, mình còn nghe máy không ạ! Em xin phép gửi thông tin qua Zalo trước cho mình tham khảo, rồi em gọi lại sau cho mình được không ạ? (4.12.1)",,,
,,,4.12.Sợ thủ tục vay ngân hàng rắc rối.,"Dạ em hiểu. Ngân hàng VPBANK đã liên kết, thủ tục có bên em hỗ trợ trọn gói. Em gửi quy trình để anh/chị thấy dễ hơn nha. (4.12)",,,,KH im lặng,,"4.12.1. Dạ, mình còn nghe máy không ạ! Em xin phép gửi thông tin qua Zalo trước cho mình tham khảo, rồi em gọi lại sau cho mình được không ạ? (4.11.2)",Khác- Không trùng (TH mặc định),( KH phản hồi những từ khóa không trùng với những Trường hợp mình đã phân lọc),"4.12.2. Dạ, em hiểu rồi ạ. Em xin phép gửi một vài thông tin hữu ích qua Zalo, nếu mình thấy phù hợp thì mình cứ nhắn cho em nha! (4.12.2)",,,
,,,"4.13. Sợ thị trường đang chậm, chưa dám xuống tiền.","Dạ, đúng là 2-3 năm vừa qua thị trường trầm lắng. Nhưng mới vô quý 2 năm nay đã rầm rộ cực nhiều dự án và tỷ lệ hấp thụ cao. Đặc biệt ở khu Đông sài gòn được đầu tư công mạnh. Nhờ vậy vị trí The Gió đang được đông đảo nhà đầu tư quan tâm. Em gửi phân tích để anh/chị tham khảo thêm ạ. (4.13)",,,,Khác- Không trùng (TH mặc định),( KH phản hồi những từ khóa không trùng với những Trường hợp mình đã phân lọc),"4.13.1. Dạ, em hiểu rồi ạ. Em xin phép gửi một vài thông tin hữu ích qua Zalo, nếu mình thấy phù hợp thì mình cứ nhắn cho em nha! (4.13.1)",,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5.0,Kh Im lặng,,,Dạ mình nghe rõ không ạ? (5),,,,,,,,,,,,
6.0,Khác- Không trùng (TH mặc định),,( KH phản hồi những từ khóa không trùng với những Trường hợp mình đã phân lọc),Dạ có gì em sẽ gửi thông tin chi tiết qua zalo cho mình tham khảo nhé ạ. Cảm ơn anh/chị! (6),,,,,,,,,,,,
7.0,Đồng ý,,"ok, ô kê, oki, ô cây, thử, anh nghe, chị nghe, được, vâng, đồng ý, thông tin, gửi hình ảnh, nói đi, nói nghe, nói thử, đang nghe, nghe đây, tiếp đi, nói nhanh, thử xem, nói đại đi, trình bày đi, nói tiếp, tiếp tục, rồi rồi, nghe nè, nói luôn đi em, mở đầu đi, thử trình bày, nghe một chút đi, giới thiệu đi, nghe thử","Dạ, Em có thế kết bạn zalo để sau cuộc gọi tiện gửi thông tin, chính sách về dự án cho anh/chị được không ạ? Số này của anh/chị có zalo luôn đúng không ạ? Anh chị đồng ý kết bạn với Zalo em là Hải Trân nhé ạ. (7)",KH trả lời,,,KH trả lời 2,,,,,,,,
8.0,Chốt xem nhà mẫu,"Chốt, net","8.1. muốn xem nhà, đi xem nhà, chốt","Dạ, Hiện tại bên em đã có nhà mẫu ở Nguyễn Đình Chiểu, quận nhất. Không biết tuần này trong tuần hay cuối tuần anh/ chị khi mào ghé được? Tầm sáng hay chiều ạ? (8.1)",KH trả lời,,"8.1.1Cuối tuần bên em có event nhà mẫu Q1 có gì em gọi, lại anh/chị rảnh thì sắp xếp ghé xem nhé. (8.1.1)",,,,,,,,,
,,"Chưa chốt, băn khoăn","8.2. chưa chắc, để suy nghĩ, băn khoăn, từ từ, cân nhắc thêm","Dạ em cảm ơn anh/chị đã lắng nghe. Hiện tại bên em đã có nhà mẫu ngay Quận 1, bàn giao đẩy đủ nội thất nên anh/chị có thể ghé xem thực tế để biết chất lượng bàn giao thế nào ạ. Bên em đang cho khách hàng giữ chỗ, chọn căn đẹp, giá tốt không mất tiền đồng thời khách giữ chỗ trước sẽ được tặng thêm gói điện máy nữa ạ. 
Số lượng có hạn nên mình tranh thủ lên xem sớm. Anh/chị ơi, em sẽ gửi thông tin cụ thể qua zalo cho anh/chị. (8.2)",,,,,,,,,,,,
9.0,Kết thúc cuộc gọi,,,Em cảm ơn anh/chị đã dành thời gian lắng nghe. Em chào anh/chị ạ! (9),,,,,,,,,,,,
